hour,MAPE_%,RMSE_MW,MAE_MW,model
16,2.069223808537515,765.2488677875638,599.2209790817476,SeasonalNaive-168h
17,2.0713739417247403,759.6525050711792,602.8418654257756,SeasonalNaive-168h
18,1.82401992877826,763.3922271577976,559.5427701437267,SeasonalNaive-168h
19,1.7031347119781957,694.3835932974498,560.3873040544029,SeasonalNaive-168h
20,2.1543427167338405,906.6450342815444,730.2786756250831,SeasonalNaive-168h
21,2.459705808639573,1146.2586732427235,803.1750524491796,SeasonalNaive-168h
22,2.4582384490898868,1098.8842326013475,739.56211776646,SeasonalNaive-168h
23,3.169778812421259,1456.0564934105032,886.3847644933286,SeasonalNaive-168h
0,1.6983310958242674,562.0773830288782,423.55207110668664,SARIMAX(daily)+temp
1,3.0994476001929274,966.7887866589391,750.5971752902988,SARIMAX(daily)+temp
2,2.0283454879333043,573.3805445018094,469.74961605238326,SARIMAX(daily)+temp
3,1.8642411803294516,520.1251724033019,420.88542416924,SARIMAX(daily)+temp
4,1.762334642275534,479.93813723846284,395.6533155816054,SARIMAX(daily)+temp
5,1.800718555132292,548.2264141055163,414.7553267964523,SARIMAX(daily)+temp
6,2.1272785731002366,631.7077707120078,509.87119597126014,SARIMAX(daily)+temp
7,1.8699567970521074,600.1758587326335,474.73683290818224,SARIMAX(daily)+temp
8,1.9169033486362612,613.5198082663634,512.1784950894164,SARIMAX(daily)+temp
9,1.7239684957241468,586.7899847283317,486.4585461407095,SARIMAX(daily)+temp
10,1.3318603211525957,496.1600086538812,393.9385716373262,SARIMAX(daily)+temp
11,1.3782659980912095,524.1010005166132,417.0072170584317,SARIMAX(daily)+temp
12,1.58953849665514,592.3482592199757,485.5836106876001,SARIMAX(daily)+temp
13,2.181178322947896,807.101267706265,666.6922305208742,SARIMAX(daily)+temp
14,3.1000544435640225,1097.9256746195922,932.1721056858723,SARIMAX(daily)+temp
15,3.7321614900008093,1288.3691513338993,1095.6216664820251,SARIMAX(daily)+temp
16,3.670529182424847,1231.7219743099638,1060.2790942890763,SARIMAX(daily)+temp
17,2.534792095703825,868.7184436295842,735.7560087604109,SARIMAX(daily)+temp
18,1.0208638774700511,385.61708713096533,311.84801985487275,SARIMAX(daily)+temp
19,2.9134804474040155,1157.0284449665492,980.2651582270771,SARIMAX(daily)+temp
20,3.748789968983838,1523.525538801999,1305.4170006861495,SARIMAX(daily)+temp
21,2.5672277628801328,1013.0431559701215,852.870053610909,SARIMAX(daily)+temp
22,1.4326821751506478,547.6554397435982,429.45046729501615,SARIMAX(daily)+temp
23,2.205134322180737,741.7366592677188,608.6337244864744,SARIMAX(daily)+temp
0,1.9463876533145648,621.6861391779764,483.30450814786326,LightGBM
1,1.936684840504943,623.1463887164637,474.9447235628641,LightGBM
2,2.1393508746241436,638.343019592966,498.2754860514383,LightGBM
3,1.9790735183342036,567.8198992503491,447.09044675823526,LightGBM
4,1.94202228067579,519.946022146368,432.3055909790825,LightGBM
5,1.8939249753793734,531.4668141208368,431.2308423683733,LightGBM
6,2.0141460144148464,582.8456013167485,472.7433634119084,LightGBM
7,1.8027679273778672,569.7372814564055,453.1306045837125,LightGBM
8,1.8436277404792045,595.7288452290409,487.3681285129761,LightGBM
9,1.6653493601347227,564.5967521748678,465.37021801973344,LightGBM
10,1.4601561482627967,533.5981317240484,428.0159555580902,LightGBM
11,1.4454667489705726,542.8954528898674,436.9771671550766,LightGBM
12,1.3933490566543865,529.597817517033,426.9500239221227,LightGBM
13,1.4195333376299655,530.8253164522408,435.9330869726875,LightGBM
14,1.515941557406542,547.6491847478288,457.2125691011102,LightGBM
15,1.6015234452271727,577.3634113223235,473.40933326777025,LightGBM
16,1.526090966583314,550.8910515410811,440.43085398695047,LightGBM
17,1.529306182208864,562.9824336235879,443.6289433860002,LightGBM
18,1.2440291213818597,472.84495507987776,381.25382227829425,LightGBM
19,1.1981763220967667,476.9542790323318,393.14093928069235,LightGBM
20,1.3646385248724426,579.9022425449165,463.25964881308624,LightGBM
21,1.5504051469256315,671.2916779421628,504.268797218586,LightGBM
22,1.6972414969396044,647.4996163223478,508.3136253856028,LightGBM
23,1.6899842805050906,604.6959594883944,466.9412864266423,LightGBM
